ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P15YM_AN,GRAPROES,Mun,Loc,Ageb,Manza,Key
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,40,,6.79,079,0001,0472,040,3107900010472040
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,41,,8.76,079,0001,0472,041,3107900010472041
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,42,7,7.38,079,0001,0472,042,3107900010472042
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,43,5,6,079,0001,0472,043,3107900010472043
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,44,8,6.99,079,0001,0472,044,3107900010472044
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,45,7,7.27,079,0001,0472,045,3107900010472045
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,46,,7.83,079,0001,0472,046,3107900010472046
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,52,0,11.44,079,0001,0472,052,3107900010472052
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,53,0,9.22,079,0001,0472,053,3107900010472053
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,54,0,8.2,079,0001,0472,054,3107900010472054
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,55,3,5.77,079,0001,0472,055,3107900010472055
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,56,5,5.42,079,0001,0472,056,3107900010472056
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,57,0,8.1,079,0001,0472,057,3107900010472057
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,58,4,5.52,079,0001,0472,058,3107900010472058
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,59,0,0,079,0001,0472,059,3107900010472059
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,1,4,8.78,079,0001,0487,001,3107900010487001
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,2,0,10.26,079,0001,0487,002,3107900010487002
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,3,4,10.63,079,0001,0487,003,3107900010487003
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,4,,8.66,079,0001,0487,004,3107900010487004
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,5,,8.24,079,0001,0487,005,3107900010487005
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,6,4,9.05,079,0001,0487,006,3107900010487006
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,7,12,7.99,079,0001,0487,007,3107900010487007
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,8,,9.1,079,0001,0487,008,3107900010487008
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,9,,10.66,079,0001,0487,009,3107900010487009
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,10,4,9.35,079,0001,0487,010,3107900010487010
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,11,6,9.1,079,0001,0487,011,3107900010487011
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,12,3,9.39,079,0001,0487,012,3107900010487012
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,13,4,8.36,079,0001,0487,013,3107900010487013
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,14,0,0,079,0001,0487,014,3107900010487014
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,15,,7.73,079,0001,0487,015,3107900010487015
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,16,8,8.54,079,0001,0487,016,3107900010487016
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,17,,10.56,079,0001,0487,017,3107900010487017
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,18,0,9.41,079,0001,0487,018,3107900010487018
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,19,,9.9,079,0001,0487,019,3107900010487019
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,20,,5.86,079,0001,0487,020,3107900010487020
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,21,13,6.75,079,0001,0487,021,3107900010487021
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,22,3,9.24,079,0001,0487,022,3107900010487022
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,23,8,7.06,079,0001,0487,023,3107900010487023
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,24,,10.46,079,0001,0487,024,3107900010487024
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,25,,10.76,079,0001,0487,025,3107900010487025
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,26,0,11.96,079,0001,0487,026,3107900010487026
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,27,8,7.36,079,0001,0487,027,3107900010487027
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,29,4,7.95,079,0001,0487,029,3107900010487029
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,30,10,5.73,079,0001,0487,030,3107900010487030
